Feature,Random Forest-Reg,Random Forest-BinRAD
AGE,0.03278633180604787,0.02816946686341407
B,0.09139826610165751,0.09085845769498231
CHAS,0.0002977143133559523,0.00030438223631169603
DIS,0.11745948491008494,0.12579446654118664
INDUS,0.0007941472574406743,0.0007267889341144273
LSTAT,0.04690274028301791,0.04773016845153643
MEDV,0.3063978747067825,0.30302029058500773
NOX,0.015504162702532492,0.01675129008776397
PTRATIO,0.0013524510155806383,0.0014876373915064056
RAD,0.09551633853522849,
RAD_24,0.2012397331209059,0.2912854210473896
RM,0.09002732487860704,0.08816374662007317
TAX,0.00015552710956381153,0.005543419932554549
ZN,0.00016790325919442589,0.00016446361415908383
