Feature,OLS-Private,Lasso-Private,OLS-Non-Private,Lasso-Non-Private
Apps,0.03898760183102762,0.03898760183102762,0.06629289957892168,0.06629289957892168
Accept,0.4847447467648351,0.4847447467648351,0.0485795355395984,0.0485795355395984
Enroll,-0.5219809227602955,-0.5219809227602955,0.17001249573078256,0.17001249573078256
Top10perc,0.11851682789445704,0.11851682789445704,-0.001556483978191192,-0.001556483978191192
Top25perc,-0.009756403877741529,-0.009756403877741529,0.06637574824945225,0.06637574824945225
F.Undergrad,0.07351607653037096,0.07351607653037096,-0.17883968029356442,-0.17883968029356442
P.Undergrad,-0.012562513721296242,-0.012562513721296242,0.0002602281510724804,0.0002602281510724804
PhD,-0.02156070588614846,-0.02156070588614846,0.17377737697816129,0.17377737697816129
Terminal,0.21579699061653781,0.21579699061653781,-0.049384236503336884,-0.049384236503336884
S.F.Ratio,-0.035618764146825486,-0.035618764146825486,-0.12658135907597293,-0.12658135907597293
perc.alumni,0.14249820291789847,0.14249820291789847,-0.021641233438481875,-0.021641233438481875
Expend,0.31025872667518994,0.31025872667518994,0.2136191000998267,0.2136191000998267
Grad.Rate,0.14119225537612842,0.14119225537612842,0.1525760196831782,0.1525760196831782
AcceptRate,0.0673697595958458,0.0673697595958458,0.7505788253383601,0.7505788253383601
EnrollRate,-0.1303691791042126,-0.1303691791042126,-1.3586120818272287,-1.3586120818272287
MatriculationRate,0.020630439541949833,0.020630439541949833,0.7478343456127345,0.7478343456127345
