Feature,ElasticNet-Private,ElasticNet-Non-Private,Lasso2-Private,Lasso2-Non-Private
Apps,0.0,0.0,0.0,0.0
Accept,0.030324110842513772,0.08982960240501034,0.08982960240501034,0.08982960240501034
Enroll,-0.0,0.054572978702141624,0.054572978702141624,0.054572978702141624
Top10perc,0.04769226731741329,0.0,0.0,0.0
Top25perc,0.012183997716290688,0.0,0.0,0.0
F.Undergrad,-0.0,0.0,0.0,0.0
P.Undergrad,-0.0,-0.0,-0.0,-0.0
S.F.Ratio,-0.041730930729794995,-0.08678170610556907,-0.08678170610556907,-0.08678170610556907
perc.alumni,0.09219350074381194,-0.0,-0.0,-0.0
Expend,0.3046323982845798,0.2452978848083147,0.2452978848083147,0.2452978848083147
Grad.Rate,0.13711638126595788,0.11846525334837497,0.11846525334837497,0.11846525334837497
AcceptRate,-0.0,0.0,0.0,0.0
EnrollRate,-0.06712007476906011,-0.0,-0.0,-0.0
MatriculationRate,-0.1278301612368856,-0.16696404483267627,-0.16696404483267627,-0.16696404483267627
FacultyQuality,0.1843537413695444,0.10084789678762453,0.10084789678762453,0.10084789678762453
